SPOT,Human_coronavirus_229E_40a,Human_coronavirus_229E_40b,Human_coronavirus_NL63_40a,Human_coronavirus_NL63_40b,SARS_coronavirus_40a,SARS_coronavirus_40b,flu_A_California_1_66_40a,flu_A_California_1_66_40b,flu_A_Leningrad_134_57_40a,flu_A_Leningrad_134_57_40b,flu_B_Beijing_243_97_40a,flu_B_Beijing_243_97_40b,flu_B_Chiba_447_98_40a,flu_B_Chiba_447_98_40b,flu_C_Miyagi_1_90_40a,flu_C_Miyagi_1_90_40b,flu_C_Sao_Paulo_378_82_40a,flu_C_Sao_Paulo_378_82_40b,Human_parainfluenza_1_40a,Human_parainfluenza_1_40b,Human_parainfluenza_2_40a,Human_parainfluenza_2_40b,Human_parainfluenza_3_40a,Human_parainfluenza_3_40b,Human_rhinovirus_89_40a,Human_rhinovirus_1B_40a,Human_rhinovirus_1B_40b,Human_rhinovirus_89_40b,Human_RSV_40a,Human_RSV_40b
1,0.013,0.183,0.043,0.031,0.005,0.08,0.074,0.058,0.3,0.024,0.364,0.025,0.048,0.238,0.046,0.071,0.051,0.034,0.113,0.096,0.061,0.021,0.095,0.164,0.031,0.074,0.058,0.268,0.415,0.033
2,1.473,0.288,0.805,0.178,0.705,0.222,0.463,0.791,0.38,0.768,0.245,0.565,0.467,0.374,1.341,0.33,0.535,0.304,0.293,0.683,0.365,0.821,0.566,0.298,0.362,0.463,0.791,0.615,0.109,0.577
3,0.407,0.221,0.248,0.262,0.215,0.32,0.224,0.303,0.267,0.138,0.054,0.288,0.631,0.043,0.375,0.224,0.215,0.372,0.675,0.027,0.137,0.453,0.495,0.072,0.41,0.224,0.303,0.079,0.242,0.22
4,0.032,0.179,0.262,0.032,0.151,0.085,0.07,0.092,0.062,0.056,0.084,0.949,0.412,0.309,0.219,0.289,0.154,0.219,0.041,0.101,0.137,0.238,0.137,0.072,0.053,0.07,0.092,0.124,0.481,0.306
5,0.17,0.05,0.951,0.547,0.45,0.275,0.369,0.127,0.544,0.126,0.026,0.081,0.166,0.563,0.155,0.311,0.196,0.23,0.308,0.071,0.174,0.201,0.505,0.259,0.268,0.369,0.127,0.089,0.175,0.652
6,0.063,0.324,0.446,0.106,0.109,0.043,0.081,0.079,0.027,0.204,0.024,0.21,0.157,0.247,0.047,0.141,0.099,0.125,0.146,0.245,0.098,0.102,0.194,0.035,0.246,0.081,0.079,0.062,0.039,0.307
7,0.394,1.144,0.629,0.307,0.191,1.387,0.049,0.872,0.338,0.734,0.321,0.772,0.666,0.154,0.347,0.483,0.171,0.528,0.58,0.18,0.131,0.674,0.343,0.455,0.518,0.049,0.872,0.147,1.083,0.442
8,0.185,0.596,0.141,0.195,0.166,0.605,0.165,0.11,0.417,0.065,0.141,0.124,0.221,0.188,0.123,0.275,0.917,0.213,0.546,0.068,0.092,0.303,0.142,0.082,0.688,0.165,0.11,0.099,0.311,0.262
9,1.241,0.319,0.368,1.16,1.193,0.371,0.223,1.312,0.332,0.695,0.218,1.386,0.095,0.732,0.468,1.098,1.318,0.492,0.469,0.431,0.411,1.261,0.149,1.573,0.827,0.223,1.312,0.184,0.912,0.321
10,0.734,1.179,0.528,0.894,0.046,0.337,0.686,0.097,0.274,0.191,0.107,0.099,0.193,1.029,0.403,0.152,0.176,0.39,0.24,0.759,0.344,0.466,0.391,0.842,0.28,0.686,0.097,0.169,0.543,0.579
11,0.033,0.365,0.044,0.228,0.035,0.108,0.437,0.517,0.179,0.127,0.31,0.05,0.029,0.057,0.272,0.24,0.1,0.065,0.047,0.085,0.108,0.166,0.045,0.155,0.213,0.437,0.517,0.142,0.082,0.271
